14:25:01.127 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.128 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.129 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.129 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 2 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.129 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 3 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.130 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 4 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.130 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 5 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.130 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 6 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.130 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 7 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.130 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.130 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 8 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.131 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.131 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 9 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.131 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.131 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 10 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.131 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.131 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 11 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.131 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.131 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 12 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.131 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.132 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 13 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.132 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.132 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 14 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.132 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.132 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 15 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.132 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.132 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 16 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.132 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
14:25:01.132 [main] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 17 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
14:25:01.132 [main] INFO  java.lang.Object - Host is using Space Shared Policy for Scheduling VMs.
